Path,Config,Variance,Latency_Cycles,Logic_Depths,Total_Adders,Total_Reg_Signals,Filename
8_2,1,0.5,2,"[1, 2]",15,2,path_8_2/V0_5_S2_cfg_1.sv
8_2,0,0.0,1,[3],15,0,path_8_2/V0_0_S1_cfg_0.sv
4_4,1,0.5,2,"[1, 2]",15,4,path_4_4/V0_5_S2_cfg_1.sv
4_4,0,0.0,1,[3],15,0,path_4_4/V0_0_S1_cfg_0.sv
4_2_2,11,0.333,3,"[1, 1, 2]",15,6,path_4_2_2/V0_333_S3_cfg_11.sv
4_2_2,10,2,2,"[1, 3]",15,4,path_4_2_2/V2_S2_cfg_10.sv
4_2_2,01,0,2,"[2, 2]",15,2,path_4_2_2/V0_S2_cfg_01.sv
4_2_2,00,0.0,1,[4],15,0,path_4_2_2/V0_0_S1_cfg_00.sv
2_8,1,0.5,2,"[1, 2]",15,8,path_2_8/V0_5_S2_cfg_1.sv
2_8,0,0.0,1,[3],15,0,path_2_8/V0_0_S1_cfg_0.sv
2_4_2,11,0.333,3,"[1, 1, 2]",15,10,path_2_4_2/V0_333_S3_cfg_11.sv
2_4_2,10,2,2,"[1, 3]",15,8,path_2_4_2/V2_S2_cfg_10.sv
2_4_2,01,0,2,"[2, 2]",15,2,path_2_4_2/V0_S2_cfg_01.sv
2_4_2,00,0.0,1,[4],15,0,path_2_4_2/V0_0_S1_cfg_00.sv
2_2_4,11,0.333,3,"[1, 1, 2]",15,12,path_2_2_4/V0_333_S3_cfg_11.sv
2_2_4,10,2,2,"[1, 3]",15,8,path_2_2_4/V2_S2_cfg_10.sv
2_2_4,01,0,2,"[2, 2]",15,4,path_2_2_4/V0_S2_cfg_01.sv
2_2_4,00,0.0,1,[4],15,0,path_2_2_4/V0_0_S1_cfg_00.sv
2_2_2_2,111,0.25,4,"[1, 1, 1, 2]",15,14,path_2_2_2_2/V0_25_S4_cfg_111.sv
2_2_2_2,110,1.333,3,"[1, 1, 3]",15,12,path_2_2_2_2/V1_333_S3_cfg_110.sv
2_2_2_2,101,0.333,3,"[1, 2, 2]",15,10,path_2_2_2_2/V0_333_S3_cfg_101.sv
2_2_2_2,100,4.5,2,"[1, 4]",15,8,path_2_2_2_2/V4_5_S2_cfg_100.sv
2_2_2_2,011,0.333,3,"[2, 1, 2]",15,6,path_2_2_2_2/V0_333_S3_cfg_011.sv
2_2_2_2,010,0.5,2,"[2, 3]",15,4,path_2_2_2_2/V0_5_S2_cfg_010.sv
2_2_2_2,001,0.5,2,"[3, 2]",15,2,path_2_2_2_2/V0_5_S2_cfg_001.sv
2_2_2_2,000,0.0,1,[5],15,0,path_2_2_2_2/V0_0_S1_cfg_000.sv
